iso_code,first_letter,date,indicator,value,indicator_name
Cape Verde,C,15-May-22,Total Vaccinations,758359,Total Vaccinations
Chad,C,26-Apr-22,Total Vaccinations,2347168,Total Vaccinations
Comoros,C,26-Apr-22,Total Vaccinations,642320,Total Vaccinations
Congo,C,15-May-22,Total Vaccinations,830379,Total Vaccinations
Cote d'Ivoire,C,08-May-22,Total Vaccinations,12387947,Total Vaccinations
D.R.C,D,06-Apr-22,Total Vaccinations,881240,Total Vaccinations
Djibouti,D,15-May-22,Total Vaccinations,185126,Total Vaccinations
Egypt,E,14-May-22,Total Vaccinations,82828973,Total Vaccinations
Eq. Guinea,E,02-May-22,Total Vaccinations,479991,Total Vaccinations
Ethiopia,E,01-May-22,Total Vaccinations,29373478,Total Vaccinations
Gabon,G,01-May-22,Total Vaccinations,556657,Total Vaccinations
Gambia,G,15-May-22,Total Vaccinations,720698,Total Vaccinations
Ghana,G,15-May-22,Total Vaccinations,14872174,Total Vaccinations
Guinea,G,01-May-22,Total Vaccinations,6111743,Total Vaccinations
Guinea-Bissau,G,24-Apr-22,Total Vaccinations,562620,Total Vaccinations
Kenya,K,15-May-22,Total Vaccinations,17992422,Total Vaccinations
Lesotho,L,26-Apr-22,Total Vaccinations,933825,Total Vaccinations
Liberia,L,26-Apr-22,Total Vaccinations,1837296,Total Vaccinations
Libya,L,12-May-22,Total Vaccinations,3456207,Total Vaccinations
Madagascar,M,15-May-22,Total Vaccinations,2369775,Total Vaccinations
Malawi,M,15-May-22,Total Vaccinations,2166402,Total Vaccinations
Mali,M,08-May-22,Total Vaccinations,1993965,Total Vaccinations
Mauritania,M,15-May-22,Total Vaccinations,2650000,Total Vaccinations
Mauritius,M,01-May-22,Total Vaccinations,2698115,Total Vaccinations
Morocco,M,15-May-22,Total Vaccinations,54528504,Total Vaccinations
Mozambique,M,15-May-22,Total Vaccinations,31616078,Total Vaccinations
Namibia,N,15-May-22,Total Vaccinations,834756,Total Vaccinations
Niger,N,15-May-22,Total Vaccinations,2845107,Total Vaccinations
Nigeria,N,15-May-22,Total Vaccinations,41091354,Total Vaccinations
Rwanda,R,15-May-22,Total Vaccinations,20141669,Total Vaccinations
Saint Helena,S,05-May-21,Total Vaccinations,7892,Total Vaccinations
Sao Tome & P.,S,08-May-22,Total Vaccinations,208657,Total Vaccinations
Senegal,S,15-May-22,Total Vaccinations,2469499,Total Vaccinations
Seychelles,S,08-May-22,Total Vaccinations,201121,Total Vaccinations
Sierra Leone,S,01-May-22,Total Vaccinations,2868978,Total Vaccinations
Somalia,S,13-May-22,Total Vaccinations,2679487,Total Vaccinations
South Africa,S,18-May-22,Total Vaccinations,35556934,Total Vaccinations
South Sudan,S,15-May-22,Total Vaccinations,723341,Total Vaccinations
Sudan,S,01-May-22,Total Vaccinations,7096087,Total Vaccinations
Swaziland,S,26-Apr-22,Total Vaccinations,535393,Total Vaccinations
Tanzania,T,01-May-22,Total Vaccinations,7280582,Total Vaccinations
Togo,T,15-May-22,Total Vaccinations,3290821,Total Vaccinations
Tunisia,T,09-May-22,Total Vaccinations,13151111,Total Vaccinations
Uganda,U,15-May-22,Total Vaccinations,20899440,Total Vaccinations
Zambia,Z,16-May-22,Total Vaccinations,4029757,Total Vaccinations
Zimbabwe,Z,18-May-22,Total Vaccinations,11568719,Total Vaccinations
